@relation all_data_pacman-weka.filters.unsupervised.attribute.Remove-R8-19

@attribute pacman-pos-x numeric
@attribute pacman-pos-y numeric
@attribute can-north numeric
@attribute can-south numeric
@attribute can-east numeric
@attribute can-west numeric
@attribute can-stop numeric
@attribute ghost1-distance numeric
@attribute ghost2-distance numeric
@attribute ghost3-distance numeric
@attribute ghost4-distance numeric
@attribute direction {North,South,East,West,Stop}

@data
12,11,0,0,1,1,1,17,12,0,2,East
13,11,0,0,1,1,1,17,14,0,1,East
14,11,0,1,1,1,1,17,15,0,0,South
14,10,1,1,0,0,1,17,13,0,0,South
14,9,1,1,1,1,1,17,13,0,0,West
13,9,0,1,1,1,1,15,13,0,0,West
12,9,0,1,1,1,1,13,11,0,0,West
11,9,1,0,1,1,1,11,9,0,0,West
10,9,1,1,1,1,1,10,8,0,0,West
9,9,0,1,1,1,1,8,8,0,0,West
8,9,0,1,1,1,1,8,7,0,0,West
7,9,0,1,1,1,1,6,7,0,0,West
6,9,1,1,1,1,1,6,5,0,0,West
5,9,1,1,1,1,1,5,5,0,0,North
5,10,1,1,1,0,1,5,5,0,0,North
5,11,0,1,1,1,1,7,3,0,0,West
4,11,0,0,1,1,1,8,2,0,0,West
3,11,0,0,1,1,1,10,2,0,0,West
2,11,0,0,1,1,1,12,0,0,0,West
1,11,0,1,1,0,1,14,0,0,0,South
1,10,1,1,0,0,1,12,0,0,0,South
1,9,1,1,1,0,1,12,0,0,0,South
1,8,1,1,1,0,1,10,0,0,0,South
1,7,1,1,1,0,1,10,0,0,0,South
1,6,1,1,0,0,1,10,0,0,0,South
1,5,1,1,1,0,1,10,0,0,0,East
2,5,0,1,1,1,1,9,0,0,0,East
3,5,0,1,1,1,1,7,0,0,0,East
4,5,0,1,1,1,1,5,0,0,0,East
5,5,0,1,1,1,1,5,0,0,0,East
6,5,0,1,1,1,1,3,0,0,0,East
7,5,0,1,1,1,1,2,0,0,0,East
8,5,1,1,1,1,1,4,0,0,0,South
8,4,1,1,1,1,1,3,0,0,0,West
7,4,1,1,1,1,1,2,0,0,0,West
6,4,1,1,1,1,1,2,0,0,0,West
5,4,1,1,1,1,1,2,0,0,0,South
1,11,0,1,1,0,1,11,7,7,18,Stop
1,11,0,1,1,0,1,11,7,8,17,Stop
1,11,0,1,1,0,1,11,8,7,17,Stop
1,11,0,1,1,0,1,11,8,7,18,East
2,11,0,0,1,1,1,9,6,5,16,East
3,11,0,0,1,1,1,7,6,5,14,East
4,11,0,0,1,1,1,7,4,5,14,East
5,11,0,1,1,1,1,7,3,4,12,East
6,11,0,1,1,1,1,8,1,2,12,East
7,11,0,0,1,1,1,9,2,1,11,East
8,11,0,0,1,1,1,10,4,0,9,East
9,11,0,0,1,1,1,12,4,0,9,East
10,11,0,1,1,1,1,14,6,0,7,South
10,10,1,1,1,0,1,14,8,0,7,East
11,10,1,1,0,1,1,16,9,0,5,South
11,9,1,0,1,1,1,14,10,0,3,East
12,9,0,1,1,1,1,16,12,0,3,East
13,9,0,1,1,1,1,16,13,0,2,East
14,9,1,1,1,1,1,17,13,0,1,South
14,8,1,1,1,1,1,15,15,0,0,South
14,7,1,1,1,1,1,13,17,0,0,South
14,6,1,1,0,0,1,12,18,0,0,South
14,5,1,1,1,1,1,12,18,0,0,West
13,5,0,1,1,1,1,11,17,0,0,West
12,5,0,0,1,1,1,11,17,0,0,West
11,5,0,1,1,1,1,9,16,0,0,West
10,5,1,1,1,1,1,7,14,0,0,West
9,5,1,1,1,1,1,7,12,0,0,West
8,5,1,1,1,1,1,5,10,0,0,West
7,5,0,1,1,1,1,3,8,0,0,West
6,5,0,1,1,1,1,3,8,0,0,West
5,5,0,1,1,1,1,3,7,0,0,South
5,4,1,1,1,1,1,1,9,0,0,East
6,4,1,1,1,1,1,0,11,0,0,East
7,4,1,1,1,1,1,0,13,0,0,East
8,4,1,1,1,1,1,0,13,0,0,North
8,5,1,1,1,1,1,0,12,0,0,North
8,6,1,1,1,0,1,0,11,0,0,North
8,7,1,1,1,1,1,0,9,0,0,North
8,8,1,1,1,1,1,0,9,0,0,West
7,8,1,1,1,1,1,0,9,0,0,West
6,8,1,1,1,1,1,0,7,0,0,West
5,8,1,1,1,1,1,0,5,0,0,North
