@relation all_data_pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R3-7

@attribute pacman-pos-x numeric
@attribute pacman-pos-y numeric
@attribute ghost1-live numeric
@attribute ghost2-live numeric
@attribute ghost3-live numeric
@attribute ghost4-live numeric
@attribute ghost1-pos-x numeric
@attribute ghost1-pos-y numeric
@attribute ghost2-pos-x numeric
@attribute ghost2-pos-y numeric
@attribute ghost3-pos-x numeric
@attribute ghost3-pos-y numeric
@attribute ghost4-pos-x numeric
@attribute ghost4-pos-y numeric
@attribute direction {North,South,East,West,Stop}

@data
15,5,0,0,1,0,1,1,3,1,8,11,7,1,East
16,5,0,0,1,0,1,1,3,1,8,11,7,1,East
17,5,0,0,1,0,1,1,3,1,7,11,7,1,West
16,5,0,0,1,0,1,1,3,1,8,11,7,1,West
15,5,0,0,1,0,1,1,3,1,8,11,7,1,West
14,5,0,0,1,0,1,1,3,1,9,11,7,1,North
14,6,0,0,1,0,1,1,3,1,10,11,7,1,North
14,7,0,0,1,0,1,1,3,1,9,11,7,1,North
14,8,0,0,1,0,1,1,3,1,8,11,7,1,North
14,9,0,0,1,0,1,1,3,1,8,11,7,1,North
14,10,0,0,1,0,1,1,3,1,9,11,7,1,North
14,11,0,0,1,0,1,1,3,1,8,11,7,1,West
13,11,0,0,1,0,1,1,3,1,9,11,7,1,West
12,11,0,0,1,0,1,1,3,1,10,11,7,1,West
1,11,1,1,1,1,6,5,6,9,8,11,14,6,Stop
1,11,1,1,1,1,5,5,6,8,9,11,14,6,Stop
1,11,1,1,1,1,4,5,5,8,8,11,14,7,Stop
1,11,1,1,1,1,4,5,5,7,8,11,15,7,East
2,11,1,1,1,1,4,5,5,7,7,11,16,7,East
3,11,1,1,1,1,4,5,5,7,7,11,15,7,East
4,11,1,1,1,1,3,5,5,8,8,11,15,8,East
5,11,1,1,1,1,3,4,5,8,7,11,15,9,East
6,11,1,1,1,1,3,4,5,8,7,11,14,9,East
7,11,1,1,0,1,3,4,5,9,5,1,14,10,East
8,11,1,1,0,1,4,4,5,8,5,1,14,11,East
9,11,1,1,0,1,4,3,5,8,5,1,15,11,East
10,11,1,1,0,1,4,4,5,8,5,1,14,11,East
11,11,1,1,0,1,4,3,4,8,5,1,14,11,East
12,11,1,1,0,1,3,3,3,8,5,1,14,11,East
13,11,1,1,0,1,4,3,3,7,5,1,14,11,East
14,11,1,1,0,0,4,4,3,7,5,1,7,1,South
14,10,1,1,0,0,3,4,3,8,5,1,7,1,South
14,9,1,1,0,0,3,3,2,8,5,1,7,1,West
13,9,1,1,0,0,3,4,1,8,5,1,7,1,West
12,9,1,1,0,0,4,4,2,8,5,1,7,1,West
11,9,1,1,0,0,5,4,2,9,5,1,7,1,West
10,9,1,1,0,0,5,4,2,9,5,1,7,1,West
9,9,1,1,0,0,5,5,1,9,5,1,7,1,West
8,9,1,1,0,0,5,4,1,9,5,1,7,1,West
7,9,1,1,0,0,5,5,1,10,5,1,7,1,West
6,9,1,1,0,0,4,5,1,9,5,1,7,1,West
5,9,1,1,0,0,4,5,1,10,5,1,7,1,North
5,10,1,1,0,0,5,5,1,11,5,1,7,1,North
5,11,1,1,0,0,5,4,2,11,5,1,7,1,West
4,11,1,1,0,0,5,4,2,11,5,1,7,1,West
3,11,1,1,0,0,5,3,1,11,5,1,7,1,West
2,11,1,0,0,0,6,3,3,1,5,1,7,1,West
1,11,1,0,0,0,7,3,3,1,5,1,7,1,South
1,10,1,0,0,0,7,4,3,1,5,1,7,1,South
1,9,1,0,0,0,7,3,3,1,5,1,7,1,South
1,8,1,0,0,0,7,4,3,1,5,1,7,1,South
1,7,1,0,0,0,7,3,3,1,5,1,7,1,South
1,6,1,0,0,0,8,3,3,1,5,1,7,1,South
1,5,1,0,0,0,9,3,3,1,5,1,7,1,East
2,5,1,0,0,0,9,3,3,1,5,1,7,1,East
3,5,1,0,0,0,8,3,3,1,5,1,7,1,East
4,5,1,0,0,0,7,3,3,1,5,1,7,1,East
5,5,1,0,0,0,8,3,3,1,5,1,7,1,East
6,5,1,0,0,0,7,3,3,1,5,1,7,1,East
7,5,1,0,0,0,7,3,3,1,5,1,7,1,East
8,5,1,0,0,0,6,3,3,1,5,1,7,1,South
8,4,1,0,0,0,6,3,3,1,5,1,7,1,West
7,4,1,0,0,0,6,3,3,1,5,1,7,1,West
6,4,1,0,0,0,5,3,3,1,5,1,7,1,West
5,4,1,0,0,0,4,3,3,1,5,1,7,1,South
1,11,1,1,1,1,6,5,6,9,8,11,14,6,Stop
1,11,1,1,1,1,6,5,6,9,9,11,14,6,Stop
1,11,1,1,1,1,6,5,7,9,8,11,14,7,Stop
1,11,1,1,1,1,6,5,7,9,8,11,14,7,East
2,11,1,1,1,1,5,5,6,9,7,11,15,7,East
3,11,1,1,1,1,4,5,7,9,8,11,15,8,East
4,11,1,1,1,1,5,5,6,9,9,11,14,8,East
5,11,1,1,1,1,4,5,6,9,9,11,14,7,East
6,11,1,1,1,1,4,5,6,10,8,11,13,7,East
7,11,1,1,1,1,4,5,6,10,8,11,14,7,East
8,11,1,1,0,1,4,5,5,10,5,1,14,7,East
9,11,1,1,0,1,3,5,5,11,5,1,14,8,East
10,11,1,1,0,1,2,5,4,11,5,1,15,8,South
10,10,1,1,0,1,2,4,3,11,5,1,14,8,East
11,10,1,1,0,1,1,4,3,11,5,1,15,8,South
11,9,1,1,0,1,1,5,3,11,5,1,15,9,East
12,9,1,1,0,1,1,4,2,11,5,1,14,9,East
13,9,1,1,0,1,2,4,2,11,5,1,14,8,East
14,9,1,1,0,1,2,4,3,11,5,1,14,8,South
14,8,1,1,0,0,2,5,2,11,5,1,7,1,South
14,7,1,1,0,0,3,5,1,11,5,1,7,1,South
14,6,1,1,0,0,3,5,1,11,5,1,7,1,South
14,5,1,1,0,0,2,5,2,11,5,1,7,1,West
13,5,1,1,0,0,2,5,2,11,5,1,7,1,West
12,5,1,1,0,0,2,4,1,11,5,1,7,1,West
11,5,1,1,0,0,3,4,1,11,5,1,7,1,West
10,5,1,1,0,0,4,4,1,10,5,1,7,1,West
9,5,1,1,0,0,4,3,1,9,5,1,7,1,West
8,5,1,1,0,0,4,4,2,9,5,1,7,1,West
7,5,1,1,0,0,5,4,2,8,5,1,7,1,West
6,5,1,1,0,0,5,3,2,9,5,1,7,1,West
5,5,1,1,0,0,6,3,2,9,5,1,7,1,South
5,4,1,1,0,0,6,4,1,9,5,1,7,1,East
6,4,0,1,0,0,1,1,1,10,5,1,7,1,East
7,4,0,1,0,0,1,1,1,11,5,1,7,1,East
8,4,0,1,0,0,1,1,1,10,5,1,7,1,North
8,5,0,1,0,0,1,1,1,10,5,1,7,1,North
8,6,0,1,0,0,1,1,1,10,5,1,7,1,North
8,7,0,1,0,0,1,1,1,9,5,1,7,1,North
8,8,0,1,0,0,1,1,1,10,5,1,7,1,West
7,8,0,1,0,0,1,1,1,11,5,1,7,1,West
6,8,0,1,0,0,1,1,1,10,5,1,7,1,West
5,8,0,1,0,0,1,1,1,9,5,1,7,1,North
5,9,0,1,0,0,1,1,1,10,5,1,7,1,West
4,9,0,1,0,0,1,1,1,11,5,1,7,1,West
3,9,0,1,0,0,1,1,2,11,5,1,7,1,West
2,9,0,1,0,0,1,1,3,11,5,1,7,1,West
1,9,0,1,0,0,1,1,2,11,5,1,7,1,East
2,9,0,1,0,0,1,1,1,11,5,1,7,1,East
3,9,0,1,0,0,1,1,2,11,5,1,7,1,East
4,9,0,1,0,0,1,1,1,11,5,1,7,1,East
